Gene,FC_2d,FC_21d
SPAC869.06c,9.466997,11.187133
SPAPB8E5.05,9.908871,7.731517
SPAC13F5.03c,8.397721,9.818105
SPCC1739.08c,8.113863,9.243623
SPBC16E9.16c,8.368469,6.278835
SPBC2G2.17c,7.84706,6.415445
SPAC977.02,,4.879759
SPCC794.04c,6.794338,4.897007
SPBPB2B2.01,6.864074,5.284285
SPAC27D7.03c,7.38976,6.058819
SPBC32C12.02,7.226305,5.812511
SPAC8C9.03,6.65295,6.043392
SPAC17A2.10c,7.49403,8.254081
SPBC839.06,7.391677,7.948769
SPCC16C4.21,7.303227,7.127405
SPAC18G6.09c,6.861468,7.719861
SPBPB21E7.02c,6.523049,7.804443
SPBC609.01,6.381318,7.786209
SPAC3G9.11c,5.597601,8.010473
SPBPB21E7.11,5.496915,7.293405
SPAC9E9.02,6.532735,3.897747
SPAC16.05c,6.034375,4.065707
SPBC354.12,5.768793,4.455062
SPCC1020.10,5.403244,3.581018
SPCC576.01c,5.096365,4.182465
SPCC737.04,5.052603,4.402132
SPAP7G5.06,4.939172,4.547991
SPBC56F2.06,4.902797,4.522164
SPCC1183.11,4.853734,4.489957
SPAC6C3.03c,4.839195,4.524729
SPBP4G3.03,4.747168,4.62498
SPBC1D7.03,4.725351,4.373766
SPAC22F8.05,4.592052,3.86329
SPAC19A8.16,4.294105,4.037646
SPAC2F7.11,4.072117,4.185222
SPAC29A4.11,5.097655,4.932493
SPCPB1C11.01,4.987107,5.27537
SPAC22H10.13,4.964935,5.302863
SPCC330.03c,4.771464,4.83794
SPBPB21E7.04c,4.737033,4.897545
SPAC23D3.12,4.659915,5.139891
SPBC1105.14,4.569072,4.705378
SPBC19C2.05,4.396324,4.659002
SPCC4G3.03,4.459626,5.188031
SPAC3C7.02c,4.376121,5.061197
SPAC56F8.16,4.317696,5.159707
SPBC30B4.01c,5.905372,5.550531
SPCPB16A4.06c,5.755097,5.747169
SPAC110.01,5.605629,5.745956
SPAC6B12.03c,5.693796,5.616648
SPBC29B5.02c,5.605629,5.553977
SPBPB7E8.02,5.581953,5.572656
SPAC1002.19,5.834785,5.160418
SPAC869.07c,5.517999,5.219815
SPBC1685.13,5.46025,5.023069
SPAC212.11,,5.455738
SPCC663.10,5.477301,5.41909
SPAC17A2.09c,5.474249,5.527043
SPCC1235.18,5.333935,5.567445
SPBC9B6.03,5.118655,5.617195
SPAC25B8.13c,4.999092,5.722202
SPBC32H8.02c,5.531263,5.920027
SPAC2H10.04,5.284226,5.856146
SPAPJ695.01c,,6.273076
SPBC83.19c,6.031692,6.274115
SPCC1393.08,6.190319,6.026664
SPAPJ691.02,6.183331,6.174505
SPBC13A2.04c,5.720399,6.233965
SPAC977.15,5.712659,6.421831
SPCC417.02,5.078426,6.591168
SPAC1039.09,4.814109,6.189269
SPAC23E2.03c,4.509722,6.01331
SPBC1D7.02c,4.499617,5.980249
SPBC1734.09,4.718789,6.570828
SPAC977.16c,4.465075,6.371707
SPAC4A8.04,4.058224,4.908662
SPCC569.09,3.971453,4.827497
SPAC1751.01c,3.879174,4.77367
SPBC56F2.05c,4.070102,4.568871
SPCC794.16,3.930959,4.500782
SPBC32H8.15,3.827988,4.544289
SPAC186.06,3.749305,4.548997
SPCC338.18,3.723172,4.687702
SPBPB21E7.01c,3.947889,5.364851
SPAC4G9.22,3.96417,5.10828
SPAC869.08,3.833399,5.040506
SPAC13A11.03,3.813239,5.188254
SPAC56F8.15,3.532224,4.846981
SPAC977.17,3.423012,4.976802
SPCC550.07,3.172293,4.742637
SPAC3G6.07,2.940561,5.05886
SPCC1235.17,3.846547,5.859282
SPBC36.02c,3.224372,6.39042
SPAC977.18,,6.118054
SPBPB21E7.06,1.883494,6.090319
SPAC1F8.02c,1.507473,5.57616
SPBC1348.08c,0.905338,5.782683
SPBC1348.11,0.506006,7.395994
SPAC977.07c,0.186165,6.230748
SPBC1348.14c,1.676313,7.830509
SPBPB8B6.02c,0.712257,8.981857
SPBC1683.01,4.440341,2.834679
SPAC32A11.02c,4.08969,2.329774
SPAC2H10.01,4.157982,1.164061
SPBC1271.09,4.309808,3.372128
SPAC16A10.01,4.300396,3.418679
SPCC1393.12,4.05465,3.636303
SPBC365.12c,3.9738,3.303038
SPAC26F1.10c,3.904039,3.429409
SPCP31B10.06,3.944963,3.012589
SPCC736.15,3.703486,3.051218
SPAC869.09,3.91678,3.950423
SPBC660.05,3.824543,4.000896
SPBC15D4.02,3.814181,3.927556
SPCC1235.14,3.760025,3.963968
SPAPB2B4.04c,3.769935,4.13507
SPAC26F1.11,3.61337,4.120652
SPAC26F1.14c,3.751424,3.503053
SPCC794.15,3.700716,3.484055
SPAC1039.01,3.475051,3.55623
SPCC1322.03,3.528151,3.917601
SPCC63.13,3.388581,4.011864
SPAC2E1P3.04,3.283029,3.900212
SPAC186.05c,3.198347,3.929967
SPCC16C4.09,3.219245,3.992262
SPAC11D3.17,3.187652,4.013365
SPBC354.08c,3.60878,2.808632
SPCC320.03,3.566833,2.945856
SPBC19G7.05c,3.479043,3.177519
SPBC16C6.02c,3.37169,3.115116
SPAC15E1.02c,3.365314,2.905206
SPAC637.03,3.246972,2.86024
SPAC24B11.09,3.197676,2.796948
SPAPB1E7.07,3.134596,2.910932
SPAC22E12.11c,3.256651,3.458231
SPCC1902.01,3.118569,3.634963
SPBC1718.07c,3.093226,3.497814
SPBC16E9.20,3.067651,3.477505
SPBC8D2.04,3.037761,3.505013
SPCC70.10,3.1665,3.223638
SPBC119.05c,3.136786,3.246619
SPCPB1C11.02,3.076949,3.288207
SPCC1281.06c,3.133394,3.126797
SPAC32A11.01,3.118866,3.102427
SPCC965.13,3.029562,3.160923
SPAC3H1.11,3.051199,3.065803
SPCC1906.03,3.029559,3.030392
SPAC4H3.03c,2.943962,3.07229
SPCC16A11.15c,3.01778,3.230469
SPAC343.20,2.98677,3.24772
SPCC191.01,2.965281,3.253514
SPCC338.12,2.916171,3.31341
SPAC23C4.06c,2.876002,3.259881
SPCC757.09c,2.921491,3.415927
SPBC23E6.09,2.89735,3.410149
SPAC4F10.07c,2.855768,3.363005
SPAC11E3.06,3.565896,2.411578
SPCC757.07c,3.43496,2.463246
SPBC428.10,3.469234,2.635007
SPBC530.11c,3.399383,2.222094
SPAC343.12,3.271011,2.219641
SPAC1B2.03c,3.207625,2.295108
SPCC417.16,3.128098,2.276986
SPCC663.03,3.109061,2.38261
SPAC19D5.01,3.132254,2.632819
SPBC725.02,3.128784,2.594429
SPAC11E3.13c,2.961864,2.886781
SPAC1F7.08,2.931984,2.860011
SPBC1683.07,2.908839,2.878806
SPCC16C4.07,2.914413,2.913115
SPAC3H1.06c,2.87578,2.812119
SPAP8A3.04c,2.845423,2.714355
SPBC1683.08,2.973134,2.619147
SPAC3C7.06c,2.946036,2.694784
SPBC409.07c,2.918548,2.664398
SPBC12C2.03c,2.889889,2.618311
SPAC29A4.17c,2.807115,2.634535
SPCC1322.08,2.789646,2.617171
SPCC1450.11c,2.92585,2.314894
SPAC2C4.17c,2.886568,2.247555
SPCC285.10c,2.849463,2.239597
SPAC3C7.05c,2.914943,2.458306
SPBC32H8.07,2.845448,2.50515
SPBC17F3.01c,2.807434,2.53455
SPAC19G12.10c,2.746247,2.366228
SPBC660.06,2.728657,2.413481
SPBC56F2.15,2.739764,2.492424
SPCC63.14,2.70321,2.462349
SPAC31G5.11,2.710436,2.553939
SPCPB1C11.03,2.67417,2.573393
SPBC19F5.01c,2.59612,2.545364
SPBC23G7.04c,2.591615,2.532871
SPCC553.12c,2.677107,2.187031
SPAC24H6.13,2.691409,2.276365
SPAC23H3.04,2.646776,2.272753
SPAC821.13c,2.56933,2.196394
SPAC19A8.01c,2.478638,2.220361
SPBC31E1.02c,2.53508,2.167029
SPBC19C7.05,2.531132,2.122157
SPBP16F5.03c,2.51194,2.154654
SPCC1682.08c,2.495104,2.161246
SPAC688.04c,2.482922,2.146977
SPAC3H8.06,2.549697,2.283267
SPAC12G12.03,2.504865,2.30522
SPAC1786.04,2.440091,2.412997
SPAC1F5.11c,2.399198,2.30932
SPAC11E3.14,3.060167,1.953658
SPCC1753.02c,2.838511,1.95916
SPCC1223.09,2.808072,1.852631
SPBC1683.05,2.576395,1.893936
SPBC56F2.04,2.565179,1.966007
SPBC19C2.04c,2.479606,1.925679
SPBC11C11.06c,2.465187,1.903323
SPAC1002.17c,2.449852,1.869696
SPBC32F12.01c,2.426074,1.808453
SPCC757.12,2.361073,1.871172
SPBC365.16,2.435525,2.074938
SPAC1834.08,2.359166,2.023048
SPBC15C4.06c,2.475565,1.712535
SPBC24C6.06,2.378327,1.70864
SPCC737.08,2.781163,2.900326
SPACUNK4.16c,2.738511,2.883576
SPBC354.11c,2.730271,2.979404
SPBC29A10.02,2.656474,2.96411
SPCC1742.01,2.64344,3.01901
SPBC23E6.01c,2.652634,2.862339
SPCC1020.01c,2.632888,2.879485
SPCC1739.01,2.617123,2.88908
SPAC25B8.19c,2.737337,3.133375
SPBC21C3.01c,2.713589,3.148096
SPBC28E12.06c,2.597079,3.128489
SPCC70.09c,2.522102,3.058145
SPAC630.04c,2.485337,3.138244
SPBC29B5.01,2.514661,2.962722
SPAC19B12.08,2.419538,3.072588
SPBC1685.14c,2.391519,3.038392
SPBC32F12.17,2.355939,3.012369
SPBC2D10.04,2.269544,3.099413
SPCC74.09,2.240869,3.111156
SPAC2E12.03c,2.227929,3.056414
SPBC1652.01,2.21219,3.015004
SPAC186.04c,2.193116,3.040776
SPAC1A6.04c,2.618618,2.68864
SPAC1687.07,2.612691,2.712286
SPCC1620.02,2.507984,2.792872
SPBP8B7.15c,2.47399,2.759489
SPAC6G10.03c,2.444978,2.821426
SPAC631.02,2.467825,2.515231
SPAC1F7.07c,2.463386,2.571562
SPCC191.06,2.424549,2.530044
SPAC22E12.14c,2.394488,2.560018
SPBC16A3.02c,2.364968,2.591358
SPCC1739.10,2.376485,2.748657
SPAC20H4.11c,2.347083,2.784942
SPBC18H10.05,2.30381,2.652504
SPCC13B11.01,2.09226,3.278017
SPAC14C4.01c,1.968911,3.304219
SPAC11D3.01c,1.900836,3.396825
SPAC16E8.16,2.061971,2.810943
SPBPJ4664.02,2.106634,3.011072
SPAC1039.10,2.013219,2.996681
SPBC1289.15,1.870003,2.97559
SPBC1711.11,1.869923,3.180219
SPBC32H8.11,2.968889,4.010699
SPCC70.04c,2.859433,4.057442
SPACUNK4.19,2.873325,3.857164
SPBPB2B2.12c,2.714543,4.189198
SPAC1399.03,2.593308,4.034583
SPBC1685.05,2.639011,4.403843
SPCC584.13,2.379195,4.277685
SPAC23E2.01,2.798226,3.498943
SPAC110.05,2.715931,3.560271
SPCC757.13,2.449898,3.598402
SPAC9E9.17c,2.389567,3.672501
SPCC548.07c,2.411233,3.463505
SPBC19F8.06c,2.294718,3.368167
SPBC31A8.02,2.244604,3.80967
SPCC74.04,2.202255,3.99013
SPBC359.06,1.910514,3.645106
SPAC11D3.19,1.882813,3.999492
SPAC977.13c,1.979542,4.343715
SPBPB2B2.14c,1.58404,4.220336
SPBPB8B6.04c,1.700826,4.770252
SPBC2G2.09c,1.669693,4.775983
SPBC887.11,1.586038,3.818161
SPCC70.12c,1.392899,3.542293
SPBC12C2.14c,1.097878,3.785853
SPAC227.13c,2.337694,2.238528
SPBC887.17,2.300833,2.188172
SPBC947.01,2.267528,2.25615
SPAC32A11.03c,2.26412,2.286569
SPCC622.13c,2.257887,2.289968
SPAC19D5.04,2.227014,2.287614
SPBC20F10.10,2.208382,2.190267
SPCC548.03c,2.159,2.170256
SPAC1399.01c,2.187841,2.26018
SPAC4F8.12c,2.171486,2.255163
SPCC1281.01,2.129687,2.230806
SPCC1919.14c,2.253916,2.113098
SPBC1604.14c,2.238959,2.080615
SPAC5D6.09c,2.183697,2.067116
SPAC1093.01,2.191945,2.040752
SPBC336.03,2.182081,2.026454
SPBC31F10.10c,2.163486,2.032183
SPBC725.11c,2.297353,2.487451
SPAC23G3.02c,2.237445,2.533846
SPAC869.10c,2.237479,2.381217
SPAC12B10.01c,2.165798,2.320592
SPAC2F3.08,2.164384,2.389829
SPAC56F8.02,2.158749,2.365319
SPAC3H5.09c,2.075099,2.540683
SPBC660.09,2.047894,2.535606
SPBCPT2R1.08c,2.031474,2.621807
SPAC24B11.05,1.976038,2.579104
SPCC1795.10c,2.082731,2.156706
SPAC4D7.02c,2.057657,2.182435
SPBC32H8.13c,1.975077,2.179928
SPBC725.03,1.939998,2.152393
SPACUNK12.02c,2.107876,2.419633
SPBC947.13,2.092062,2.347004
SPBC3H7.02,2.03463,2.289469
SPAC17A5.18c,2.042603,2.326757
SPBC713.06,2.015149,2.346133
SPBC8D2.03c,1.93981,2.388682
SPAC31G5.12c,1.927702,2.304834
SPAC6F12.02,1.862648,2.365675
SPBP8B7.04,1.853309,2.305901
SPBC146.01,1.879807,2.504745
SPBC1685.07c,1.868917,2.516263
SPBPB2B2.05,1.798161,2.542312
SPBC14C8.01c,1.756827,2.537639
SPBPB2B2.02,1.756591,2.762144
SPBC106.13,1.739357,2.281991
SPCC1682.09c,1.709536,2.171028
SPBC29A10.14,1.661514,2.149448
SPAC2G11.13,1.647615,2.088579
SPAC9E9.09c,1.583874,2.147126
SPCC576.04,1.616285,2.276178
SPAC25G10.01,1.577956,2.244871
SPBC19C2.11c,1.576542,2.241139
SPAC1D4.11c,1.553622,2.216645
SPBC31E1.01c,1.542081,2.206497
SPBC36B7.05c,1.522736,2.226968
SPCC16A11.08,1.618824,2.446496
SPBP35G2.11c,1.599237,2.349884
SPAC57A7.05,1.522885,2.38046
SPCC830.02,1.492177,2.368792
SPBC1773.03c,1.332318,3.153773
SPBC8E4.02c,1.30455,2.986409
SPAPB1A11.01,1.078899,2.838124
SPCC18B5.03,1.358368,2.371747
SPAC57A10.05c,1.322876,2.474473
SPAC11D3.16c,1.361637,2.542475
SPAC22F3.03c,1.346793,2.604597
SPCC1827.07c,1.252273,2.592922
SPCC306.10,1.097976,2.538141
SPAC4H3.04c,1.086252,2.472083
SPBC1271.07c,1.042944,2.608721
SPAC4G9.19,0.946339,2.382182
SPBC3E7.02c,2.915927,1.146304
SPAC26H5.08c,2.729812,1.525163
SPCC417.05c,2.655376,1.631004
SPAC17C9.16c,2.528974,1.561651
SPCC24B10.13,2.621577,1.426245
SPAPB1A10.14,2.562222,1.388116
SPBC4B4.08,2.513298,1.351447
SPCC794.01c,2.514229,1.430137
SPBC409.08,2.53922,1.11484
SPBC25B2.02c,2.301171,1.09178
SPCC11E10.01,2.29637,1.134111
SPAC824.08,2.258462,1.284221
SPCC1682.12c,2.173292,1.442636
SPAC22F8.02c,2.15763,1.456281
SPAC7D4.03c,2.156705,1.488817
SPAC30D11.01c,2.114338,1.361988
SPAC17G6.11c,2.065639,1.051145
SPBC19C2.09,2.003455,1.062653
SPBC56F2.08c,2.025327,1.38274
SPBC651.08c,2.006897,1.437946
SPCC1223.13,1.918318,1.369157
SPBC21D10.09c,1.906928,1.382895
SPBC83.13,1.96989,1.261213
SPAC13G7.04c,1.906096,1.277803
SPBC14C8.02,1.823558,1.309021
SPCC1393.13,1.803897,1.294226
SPCC1682.15,1.820159,1.265945
SPCC1183.12,1.803812,1.268898
SPAC1250.01,2.217797,1.913343
SPAC17G8.11c,2.200336,1.987351
SPAC1399.02,2.158153,1.946695
SPAC6F6.01,2.112428,1.918505
SPAC144.13c,2.069429,1.957844
SPAC24B11.12c,2.13587,1.857372
SPBC2D10.06,2.069794,1.846211
SPAC19B12.03,2.221405,1.659801
SPAPB2B4.07,2.23952,1.771355
SPAC22F8.04,2.199587,1.795772
SPBC29A3.08,2.198242,1.837235
SPAC4F8.13c,2.194839,1.819201
SPAC1F7.03,2.074145,1.569516
SPCC1322.14c,2.058494,1.636064
SPCC1840.02c,2.024242,1.610331
SPAC3F10.11c,2.017335,1.629941
SPAPB1E7.08c,2.060441,1.728249
SPAC1093.06c,2.0241,1.694367
SPAC328.03,1.99588,1.687631
SPBC119.04,2.025158,2.057124
SPCC297.03,1.98929,2.00098
SPAC24H6.11c,1.95101,1.913543
SPCC4F11.02,1.947929,1.901002
SPAC1687.22c,1.948908,1.938725
SPCC962.01,1.949773,1.981541
SPCC1620.14c,1.932931,1.971774
SPBC1271.05c,1.910672,1.984107
SPBC3B9.06c,1.930862,2.067943
SPBC839.02,1.899896,2.050661
SPBC646.12c,1.887853,2.114385
SPCC1682.11c,1.839019,2.092432
SPCC1393.02c,1.866051,2.001553
SPAC3A12.19,1.858006,2.041638
SPAC458.04c,1.788781,1.99546
SPCC663.01c,1.917424,1.729108
SPCC74.06,1.903133,1.718251
SPAC6B12.07c,1.935622,1.823172
SPAC26H5.05,1.849548,1.779318
SPBC27B12.11c,1.841457,1.794476
SPCC1494.03,1.847609,1.847584
SPAC1006.01,1.855022,1.885538
SPAC21E11.03c,1.839241,1.890744
SPAC17G8.10c,1.775743,1.826499
